no.,original SMILES,final SMILES,exp VDss (L/kg),pred VDss (L/kg),exp CL (mL/min/kg),pred CL (mL/min/kg),exp t1/2 (h),pred t1/2 (h),exp fu,pred fu,exp logVDss,pred logVDss,exp logCL,pred logCL,exp logt1/2,pred logt1/2,exp logfu,pred logfu
1041,C=CC=C3OCN([C@@H]1CCCC[C@H]1N2CCCC2)C(=O),CC=C3OCN([C@@H]1CCCC[C@H]1[NH+]2CCCC2)C(=O)C,5.7,5.28,37,27.37,4,5.35,0.08,0.16,0.76,0.72,1.57,1.44,0.60,0.73,-1.10,-0.79
1042,CC3=CC=CC4=C3C=CS4CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C,C3=C4C=CSC4=CC=C3C[NH2+]CC1=CC=C(C=C1)C2=C3CCNC(=O)C4=CC,1.1,1.38,3,4.15,5.5,5.72,,,0.04,0.14,0.48,0.62,0.74,0.76,,
1043,3C(=CC(=C4)F)[NH]2CC1(C)CC[C@@]2(CC[C@]3(COC(=O)C=CC4=C(NC(=O)C=CC(O)=O)C=CC(=C4)O)C(=C,(=CC(=C34)[NH]2)FCC1(C)CC[C@]2(CC[C@]3(COC(=O)\C=C\C4=C(NC(=O)\C=C\C([O-,3.28,5.45,4.31,6.24,16.6,13.13,,,0.52,0.74,0.63,0.80,1.22,1.12,,
1044,C[C@@H]5[C@@]6(C)CCC(=O)C(C)(C)[C@H]6CC[C@@]35C)[C@@H]2C1)C(O)=OCN(C1CCN(CC1)C[C@@H](O)COC2=CC=C(,])=O)C=CC(=C4)O)C(=CC[C@@H]5[C@@]6(C)CCC(=O)C(C)(C)[C@@H]6CC[C@@]35C)[C@H]2C1)C([O-])=OCN(C1CC[NH+](CC1)C[C@@H](O)COC2=CC=C(F),1.45,1.15,7.6,4.88,,,,,0.16,0.06,0.88,0.69,,,,
1045,F)C=C2)C3=NC4=CC=CC=C4S3C[C@H](NCC1=CC=C(OCC2=CC=CC(=C2)F),C=C2)C3=NC4=C(S3)C=CC=C4C[C@H]([NH2+]CC1=CC=C(OCC2=CC(=CC=C2)F),5.5,4.48,4.05,3.66,18.9,15.64,0.014,0.02,0.74,0.65,0.61,0.56,1.28,1.19,-1.85,-1.79
1046,C=C1)C(N)=OOC(=O)[C@@H](CC1=CC(=C(O)C=C1)O)OC(=O)C=CC2=CC=C(O)C3=C2[C@@H]([C@H],C=C1)C(N)=OOC1=C(O)C=C(C[C@@H](OC(=O)\C=C/C2=CC=C(O)C3=C2[C@@H]([C@H](O3)C4=CC(=C(O)C=C4)O,2.19,1.85,1.17,2.70,21.67,13.52,,,0.34,0.27,0.07,0.43,1.34,1.13,,
1047,(O3)C4=CC=C(O)C(=C4)O)C(=O)OC(CC5=CC=C(O)C(=C5)O)C(O)=OCCCCCCN1CCC(CC1)(C(=O)N(C)CC)C2=CC,)C(=O)O[C@@H](CC5=CC(=C(O)C=C5)O)C([O-])=O)C([O-])=O)C=C1CCCCCC[NH+]1CCC(CC1)(C(=O)N(C)CC)C2=CC=,0.14,0.18,7.17,6.52,0.29,0.74,0.08,0.06,0.85,-0.75,0.86,0.81,-0.54,-0.13,-1.10,-1.23
1048,=CC=C2CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](CC3=CC,CC=C2CC(C)(C)NC(=O)[C@@H]1C[C@H]2CCCC[C@H]2C[NH+]1C[C@@H](O)[C@H](CC3=CC=CC=C3)NC(,,,24,14.64,3.6,6.06,,,,,1.38,1.17,0.56,0.78,,
1049,=CC=C3)NC(=O)[C@H](CC(N)=O)NC(=O)C4=CC=C5C=CC=CC5=N4FC1=CC=C(C=C1)C2=N[N]3C(=NN=C3C=C2,=O)[C@H](CC(N)=O)NC(=O)C4=NC5=CC=CC=C5C=C4FC1=CC=C(C=C1)C2=N[N]3C(=NN=C3C=C2)SC4=,3.6,2.86,13,9.20,13,9.25,0.028,0.03,0.56,0.46,1.11,0.96,1.11,0.97,-1.55,-1.49
1050,)SC4=CC=C5N=C(NC(=O)NCCN6CCOCC6)SC5=C4,CC5=C(C=C4)N=C(NC(=O)NCC[NH+]6CCOCC6)S5,4.1,3.26,8.34,6.57,8.19,10.24,,,0.61,0.51,0.92,0.82,0.91,1.01,,
1051,1052NC(=N)NN=C1CCC2=C(C=CC=C12)C(N)=NCCOC1=CC=C2N(C(=O)[C@]3(CC[C@H](CC,NC(=[NH2+])N\N=C1/CCC2=C1C=CC=C2C(N)=[NH2+]CCOC1=CC2=C(C=C1)N(C(=O)C23CCC(CC3)OCC[,0.76,0.72,9,7.44,1,1.38,,,0.12,-0.14,0.95,0.87,0.00,0.14,,
1053,3)OCCN4CCOCC4)C2=C1)[S](=O)(=O)C5=C(OC)C=C(C=C5)C(=O)NC(C)(C)CN[C@@H](C(=O)N1[C@H](CC2C[C@@H]12,NH+]4CCOCC4)[S](=O)(=O)C5=C(OC)C=C(C=C5)C(=O)NC(C)(C)C[NH3+][C@@H](C(=O)N1[C@H](C[C@H]2C[C@@,7,5.56,12.3,9.71,10.4,10.76,0.1,0.07,0.85,0.75,1.09,0.99,1.02,1.03,-1.00,-1.13
1054,)C#N)[C]34CC5[CH2]C(C[C](O)(C5)C3)C4C[C@@H](O)[C@@H]1[C@H]2SC(=C(N2C1,H]12)C#N)[C]34C[C@@H]5[CH2][C@H](C[C](O)(C5)C3)C4C[C@@H](O)[C@@H]1[C@H]2SC(=C(N2C1=O)C([,1.8,1.43,7.1,5.37,7.5,5.62,1,0.77,0.26,0.16,0.85,0.73,0.88,0.75,0.00,-0.12
1055,=O)C(O)=O)SCCOC(N)=OCN1[C@@H]2CC(C[C@H]1[C@@H]3O[C@,O-])=O)SCCOC(N)=OC[NH+]1[C@@H]2CC(C[C@H]1[C@@H]3O[C@H],0.3,0.29,7.5,5.79,0.8,1.15,0.35,0.43,0.52,-0.53,0.88,0.76,-0.10,0.06,-0.46,-0.37
1056,H]23)OC(=O)[C@H](CO)C4=CC=CC=C41057O[C@@H]1[C@@H](O)[C@@H](O[C@@H](O[C@@H]1[C@@H](O)[C@H](O[C@@H]([C@H]1CCN(CC)CCNC(=O)C1=CC=C(N[S](C)(=O)=,23)OC(=O)[C@H](CO)C4=CC=CC=C4CC[NH+](CC)CCNC(=O)C1=CC=C(N[S](C)(=O)=O),3.1,2.46,16,15.61,4.5,3.21,0.1,0.09,0.49,0.39,1.20,1.19,0.65,0.51,-1.00,-1.06
1059,O)C=C1CC1=CC(=C([NH]1)C=C2C(=O)NC3=CC=CC,C=C1CC1=CC(=C([NH]1)\C=C2/C(=O)NC3=C2C=CC=C3),0.82,1.03,3.7,4.57,3.8,3.62,0.96,0.74,0.09,0.01,0.57,0.66,0.58,0.56,-0.02,-0.13
1060,=C23)CCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(,CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC([O-,0.98,1.23,14,7.48,0.83,1.64,0.008,0.02,0.01,0.09,1.15,0.87,-0.08,0.21,-2.10,-1.63
1061,O)=O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(O)=OCC[C@@]1(O)C(=O)OCC2=C1C=C3N(CC4=,])=O)C(=O)N[C@@H](CCCC[NH3+])C(=O)N1CCC[C@H]1C([O-])=OCC[C@@]1(O)C(=O)OCC2=C1C=C3N(CC4=C(C5=C,,,18.7,8.25,0.08,0.37,,,,,1.27,0.92,-1.10,-0.43,,
1062,C(C5=CC(=CC=C5N=C34)O)[Si](C)(C)C(C)(C)C)C2=OCCCC1=N[N](C)C2=C1N=C(NC2=O)C3=C(O,C(=CC=C5N=C34)O)[Si](C)(C)C(C)(C)C)C2=OCCCC1=N[N](C)C2=C1N=C(NC2=O)C3=C(OCC)C=,0.47,0.59,6,5.03,1.4,2.42,,,0.33,-0.23,0.78,0.70,0.15,0.38,,
1063,CC)C=CC(=C3)[S](=O)(=O)N4CCN(C)CC4C[C@H](CC1=CC(=C2N(CCCO)CCC2=C1)C(,CC(=C3)[S](=O)(=O)N4CC[NH+](C)CC4C[C@H](CC1=CC(=C2N(CCCO)CCC2=C1)C(N)=O)[,1.36,1.48,9,7.58,2.2,3.04,0.04,0.05,0.13,0.17,0.95,0.88,0.34,0.48,-1.40,-1.27
1064,N)=O)NCCOC3=C(OCC(F)(F)F)C=CC=C31065O=C1N(CCO[N](=O)=O)COC2=CC=CC=C12,NH2+]CCOC3=C(OCC(F)(F)F)C=CC=C3[O-][N+](=O)OCCN1COC2=C(C=CC=C2)C1=O,0.68,0.85,2.8,3.50,3.6,5.50,0.05,0.06,0.17,-0.07,0.45,0.54,0.56,0.74,-1.30,-1.22
1066,CN[C@@H]1[C@@H](O)[C@H](OC[C@]1(C,C[NH2+][C@@H]1[C@@H](O)[C@H](OC[C@]1(C)O)O[C@H]2[C@H]([NH3+])C[C@H]([NH3+])[C@@,15.31,12.15,20.9,11.65,10.98,10.11,,,1.18,1.08,1.32,1.07,1.04,1.00,,
1067,)O)O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(=CC[C@H]3N)CN)[C@@H]2ON[C@@H]1CN(CC12CC2)C3=C(F)C=C4C(=O,H](O[C@H]3OC(=CC[C@H]3[NH3+])C[NH3+])[C@@H]2O,0.19,0.16,1,1.11,2.4,3.44,0.15,0.33,0.72,-0.80,0.00,0.05,0.38,0.54,-0.82,-0.49
1068,O)=ON[C@@H](CC(=O)N1CC[N]2C(=NN=C2C(F)(,3F)C(=O)C(=CN4[C@@H]5C[C@@H]5F)C([O-])=O[NH3+][C@@H](CC(=O)N1CC[N]2C(=NN=C2C(F)(,1.5,1.80,3.7,2.80,6.6,6.68,0.51,0.39,0.18,0.26,0.57,0.45,0.82,0.83,-0.29,-0.40
1069,F)F)C1)CC3=CC(=C(F)C=C3F)FCC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2,F)F)C1)CC3=C(F)C=C(F)C(=C3)FCC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@,2.8,2.38,6,5.90,12,9.32,0.62,0.39,0.45,0.38,0.78,0.77,1.08,0.97,-0.21,-0.41
1070,[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)CCC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)C3,H]3CC=C4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)CCC(C)(C)C1=CN=C(CSC2=CN=C(NC(=O)C3CC[NH,0.3,0.38,0.02,0.18,372.4,86.21,,,0.52,-0.42,-1.70,-0.75,2.57,1.94,,
1071,CCNCC3)S2)O1CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NC,2+]CC3)S2)O1CC[C@H](C)[C@@H]([C@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NCCC2=CC=CC=C2,5.14,4.09,13,9.70,9.3,6.83,,,0.71,0.61,1.11,0.99,0.97,0.83,,
1072,CC2=CC=CC=C2)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C,)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)[NH+](C)C)C(C)C,0.42,0.53,1.6,3.02,5.67,4.84,,,0.38,-0.28,0.20,0.48,0.75,0.69,,
1073,CC1=CC[C@H](C[C@@H]1O)C(C)(C)OO=C(O[C@H]1CN2CCC1CC2)N3CCC4=CC=,CC1=CC[C@H](C[C@@H]1O)C(C)(C)OO=C(O[C@H]1C[NH+]2CCC1CC2)N3CCC4=C(C=C,0.43,0.54,2.7,3.66,1.9,2.49,,,0.37,-0.27,0.43,0.56,0.28,0.40,,
1074,CC=C4[C@@H]3C5=CC=CC=C5CC(C)NCC(O)C1=CC=C(N[S](C)(=O)=O)C=C,C=C4)[C@@H]3C5=CC=CC=C5CC(C)[NH2+]C[C@H](O)C1=CC=C(N[S](C)(=O)=O),8.2,6.51,2.1,3.46,52,23.43,0.02,0.08,0.91,0.81,0.32,0.54,1.72,1.37,-1.70,-1.11
1075,C[C@@H]1CN(C[C@H](C)N1)C2=C(F)C(=C,C=C1C[C@@H]1CN(C[C@H](C)[NH2+]1)C2=C(F)C3=C(,1.3,1.64,2,3.16,6.3,4.18,0.62,0.63,0.11,0.21,0.30,0.50,0.80,0.62,-0.21,-0.20
1076,3C(=O)C(=CN(C4CC4)C3=C2F)C(O)=O)NOC(=O)C[C@H](NC(=O)C[P](O)(O)=O)C(O)=,C(=C2F)N)C(=O)C(=CN3C4CC4)C([O-])=O[O-]C(=O)C[C@H](NC(=O)C[P]([O-])([O-])=O)C([O-,3.9,3.10,2.7,3.03,20,14.37,0.55,0.50,0.59,0.49,0.43,0.48,1.30,1.16,-0.26,-0.30
1077,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O,])=OC[NH2+][C@@H]1[C@H](O)[C@H]([NH2+]C)[C@,0.33,0.42,1.22,1.51,4.78,6.04,,,0.48,-0.38,0.09,0.18,0.68,0.78,,
1078,[C@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1OCO[C@H]1[C@H](O)CC(=O)O[C@H](C)CC=CC=C[C@H](O[C@H]2CC[C@H]([C@H](C),H]2O[C@@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@@H]2[C@H]1OCO[C@H]1[C@H](O)CC(=O)O[C@H](C)C\C=C/C=C\[C@H](O[C@H]2CC[C@H]([C@H](C)O2)[NH+](C),0.13,0.25,0.99,1.30,1.8,2.92,,,0.89,-0.61,0.00,0.11,0.26,0.46,,
1079,O2)N(C)C)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]3O[C@H](C)[C@@H](O[C@H]4CCCCCCCCCCCCCCC[C@@H](O)[C@H](C),C)[C@H](C)C[C@H](CC=O)[C@@H]1O[C@@H]3O[C@H](C)[C@@H](O[C@H]4C[C@@](C)(O)[C@@CCCCCCCCCCCCCCC[C@@H](O)[C@H](C)[NH3+,5.4,4.29,12.8,6.07,5.2,6.06,0.26,0.27,0.73,0.63,1.11,0.78,0.72,0.78,-0.59,-0.57
1081,CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](,]CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](CC[C@@]4(C,30.7,14.12,57.6,22.63,29.7,19.06,,,1.49,1.15,1.76,1.35,1.47,1.28,,
1082,CC[C@]4(C)[C@H]3CC[C@]12C)NCCCNCCCCN)O[S](O)(=O)=OCCN(CC)CCNC1=CC=C(CNC=O)C2=C1C(=O,)[C@H]3CC[C@]12C)[NH2+]CCC[NH2+]CCCC[NH3+])O[S]([O-])(=O)=OCC[NH+](CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=,0.23,0.29,1.2,1.97,9.5,7.29,,,0.64,-0.54,0.08,0.30,0.98,0.86,,
1083,)C3=CC(=CC=C3S2)OCOC(CNC(=O)C[N]1C=CN=C1[N+]([O-,O)C=C1)C=CC(=C3)OCO[C@@H](CNC(=O)C[N]1C=CN=C1[N+]([O-,1.01,1.27,3.1,4.27,6.19,7.23,,,0.00,0.10,0.49,0.63,0.79,0.86,,
1084,])=O)C(F)(F)FCC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O),])=O)C(F)(F)FCC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=,0.69,0.62,3,3.84,3.45,2.99,,,0.16,-0.21,0.48,0.58,0.54,0.48,,
1085,NC1=OCN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@@H](O[C@@H](C)[C,C[NH2+][C@H]1[C@H](O)[C@H](O)[C@H](CO)O[C@H]1O[C@H]2[C@@H](O[C@@H](C)[C@]2(O)C,0.67,0.53,8.2,7.14,1.4,1.81,1,0.89,0.17,-0.27,0.91,0.85,0.15,0.26,0.00,-0.05
1086,@]2(O)C=O)O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]3NC(N)=NCCC(=O)N(C1=CC=CC=C1)C2(CCN(CCC3=C,=O)O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(N)=[NH2+])[C@H](O)[C@@H]3NC(N)=[NH2+]CCC(=O)N(C1=CC=CC=C1)C2(CC[NH+](CCC3=CC,0.34,0.43,0.78,1.02,4.3,4.36,0.65,0.63,0.47,-0.37,-0.11,0.01,0.63,0.64,-0.19,-0.20
1087,C=CS3)CC2)COC1088CC1(C)C(N2C(CC2=O)[S]1(=O)=O)C(O)=OCC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](,=CS3)CC2)COCCC1(C)[C@@H](N2[C@H](CC2=O)[S]1(=O)=O)C([O-])=OCC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](C3=CC=,9.4,6.03,15,10.14,14,10.21,0.075,0.07,0.97,0.78,1.18,1.01,1.15,1.01,-1.12,-1.18
1089,C3=CC=CC=C3)[S](O)(=O)=O)C(=O)N2[C@H]1C(O)=ONC1=CC=C(C=C1)[S](=O)(=O)NC2=NC=CC=,CC=C3)[S]([O-])(=O)=O)C(=O)N2[C@H]1C([O-])=O,0.15,0.19,1.6,1.76,1.2,1.54,0.5,0.42,0.82,-0.72,0.20,0.24,0.08,0.19,-0.30,-0.38
1090,N2CC1=CC(=NO1)N[S](=O)(=O)C2=CC=C(N)C,NC1=CC=C(C=C1)[S](=O)(=O)NC2=NC=CC=N2,0.29,0.37,0.55,1.05,7,6.50,0.44,0.38,0.54,-0.44,-0.26,0.02,0.85,0.81,-0.36,-0.42
1091,=C2OC(=O)C1=C(O)C=CC(=C1)N=NC2=CC=C(C,CC1=CC(=NO1)N=[S]([O-])(=O)C2=CC=C(N)C=C2OC1=C(C=C(C=C1)N=NC2=CC=C(C=C2)[S](=O)(=O,0.3,0.18,0.36,0.55,9.8,6.46,0.23,0.19,0.52,-0.75,-0.44,-0.26,0.99,0.81,-0.64,-0.72
1092,=C2)[S](=O)(=O)NC3=CC=CC=N3O=C1C(CC[S](=O)C2=CC=CC=C2)C(=O)N(N,)NC3=NC=CC=C3)C([O-])=OO=C1C(CC[S](=O)C2=CC=CC=C2)C(=O)N(N1C3=C,0.11,0.14,0.26,0.35,7.6,7.01,0.004,0.01,0.96,-0.86,-0.59,-0.45,0.88,0.85,-2.40,-2.17
1093,1C3=CC=CC=C3)C4=CC=CC=C4CC1=NOC(=C1C)N[S](=O)(=O)C2=CC=C(N),C=CC=C3)C4=CC=CC=C4,0.12,0.15,0.34,0.63,6.2,6.75,0.017,0.02,0.92,-0.82,-0.47,-0.20,0.79,0.83,-1.77,-1.69
1094,C=C2COC1=CC(=CC=C1C2=NC3=NC=CC=C3[NH,CC1=NOC(=C1C)N=[S]([O-])(=O)C2=CC=C(N)C=C2COC1=C(C=CC(=C1)[S](C)=O)C2=NC3=C([NH]2)C=,0.17,0.21,0.3,0.40,7.4,5.34,0.079,0.09,0.77,-0.67,-0.52,-0.40,0.87,0.73,-1.10,-1.05
1095,]2)[S](C)=OCCN1CCC[C@@H]1CNC(=O)C2=C(OC)C=C,CC=N3CC[NH+]1CCC[C@@H]1CNC(=O)C2=C(OC)C=CC(,0.62,0.78,10,8.11,0.8,1.25,0.41,0.14,0.21,-0.11,1.00,0.91,-0.10,0.10,-0.39,-0.86
1096,C(=C2)[S](N)(=O)=OCN[S](=O)(=O)CC1=CC=C2[NH]C=C(CCN(C,=C2)[S](N)(=O)=OCN[S](=O)(=O)CC1=CC2=C([NH]C=C2CC[NH+](C),0.94,1.43,1.9,2.58,6.5,3.89,1,0.76,0.03,0.16,0.28,0.41,0.81,0.59,0.00,-0.12
1097,)C)C2=C1CC(C(O)=O)C1=CC=C(C=C1)C(=O)C2=CC=C,C)C=C1C[C@@H](C([O-,1.7,1.30,19,13.42,1.7,2.42,0.83,0.72,0.23,0.11,1.28,1.13,0.23,0.38,-0.08,-0.14
1098,S2CC1=C(N[S](=O)(=O)C2=CC=C(C=C2)C#CC3,])=O)C1=CC=C(C=C1)C(=O)C2=CC=CS2CC1=C(N[S](=O)(=O)C2=CC=C(C=C2)C#CC3=CC(=,0.04,0.05,0.76,0.71,2.1,2.73,0.006,0.01,1.40,-1.30,-0.12,-0.15,0.32,0.44,-2.22,-1.99
1099,=CC=C(O)C(=C3)C(O)=O)N=CC=C1C[C@@H]1CCN(CCN1C(=O)C2=CC(=CC=C2,0.00190.0040C(O)C=C3)C([O-])=O)N=CC=C1C[C@H]1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)[N]3,0.1,0.13,0.07,0.22,16,10.59,,,1.00,-0.90,-1.15,-0.66,1.20,1.02,-2.72,-2.40
1100,,,0.69,0.87,0.84,1.40,10.37,8.66,0.05,0.03,0.16,-0.06,-0.08,0.15,1.02,0.94,-1.30,-1.49
1101,NC1=C2CCCCC2=NC3=CC=CC=C13CO[C@@H]1C[C@@H](CC[C@H]1O)C=C(C)[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=,NC1=C2C=CC=CC2=[NH+]C3=C1CCCC3CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@]4(O),11,8.74,56,25.43,3.3,4.48,0.25,0.24,1.04,0.94,1.75,1.41,0.52,0.65,-0.60,-0.62
1102,O)[C@]4(O)O[C@H]([C@H](C[C@@H](C)CC(=C[C@@H](CC=C)C(=O)C[C@H](O)[C@H=C(OC)C(=C2)[S](N)(=O)=OCO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(NC(=O)C(=CC=C[C@H](OC)[C@@H](,O[C@H]([C@H](C[C@@H](C)C\C(=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]2C)C)OC)[C@H](C[C@=C2)[S](N)(=O)=O)C=CC=C1CO[C@H]1C[C@H](C)CC2=C(NCC=C)C(=O)C=C(N,1.2,1.02,0.7,1.39,26,16.88,0.01,0.02,0.08,0.01,-0.15,0.14,1.41,1.23,-2.00,-1.65
1105,OC(N)=O)C(=C[C@H](C)[C@H]1O)C)C)C2=,C(=O)\C(=C\C=C\[C@H](OC)[C@@H](OC(N)=O)\C(=C\[C@@H](C)[C@H]1O)C)C)C2=O,2,1.59,10.18,7.05,3,3.05,,,0.30,0.20,1.01,0.85,0.48,0.48,,
1106,OC(CC1=CC(=C(O)C=C1)O)C(O)=OCC[C@H]([C@@H](C)CN(C)C)C1=CC=CC(=,O[C@H](CC1=CC(=C(O)C=C1)O)C([O-])=OCC[C@H]([C@@H](C)C[NH+](C)C)C1=CC(=CC=C1,0.38,0.32,17.75,9.84,0.37,0.75,,,0.42,-0.49,1.25,0.99,-0.43,-0.12,,
1107,C1)OCOC1=C(OC)C=C2CN(CCC3=CC=C(NC(=O),)OCOC1=C(OC)C=C2C[NH+](CCC3=CC=C(NC(=O)C4,4.64,2.95,21.33,17.32,2.39,3.21,,,0.67,0.47,1.33,1.24,0.38,0.51,,
1108,C4=C(NC(=O)C5=CC6=CC=CC=C6N=C5)C=C(OC)C(=C4)OC)C=C3)CCC2=C1NC1=NC(=O)N(C=C1)[C@H]2O[C@H](CO)[,=C(NC(=O)C5=CC6=CC=CC=C6N=C5)C=C(OC)C(=C4)OC)C=C3)CCC2=C1NC1=NC(=O)N(C=C1)[C@H]2O[C@H](CO)[C@](O),6.4,5.08,2.8,3.89,29,18.76,,,0.81,0.71,0.45,0.59,1.46,1.27,,
1109,C@](O)(C#C)[C@H]2O,(C#C)[C@H]2OCC(C)[C@H](NC(=O)[C@H](C(C)C)[NH+](C)C)C(=,1.1,0.96,1.6,2.99,10.9,5.51,,,0.04,-0.02,0.20,0.47,1.04,0.74,,
1110,)C(=O)N(C)[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)NC(C)(C)CCCC(=O)NC[C@@H]1C[C@H]1C2=CC=CC3,O)N(C)[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)N2CCC[C@H]2C(=O)NC(C)(C)CCCC(=O)NC[C@@H]1C[C@H]1C2=C3CCOC3=CC=,0.33,0.42,9.6,6.60,0.57,1.71,,,0.48,-0.38,0.98,0.82,-0.24,0.23,,
1111,=C2CCO3CCOC(=O)C1=CC=C(N=C1)C#CC2=CC3=C(S,C2CCOC(=O)C1=CN=C(C=C1)C#CC2=CC3=C(SCCC3(,0.33,0.51,9.04,10.61,0.75,1.24,,,0.48,-0.29,0.96,1.03,-0.12,0.09,,
1112,CCC3(C)C)C=C2C[C@@]1(C[N]2C=CN=N2)[C@@H](N3[C@,C)C)C=C2C[C@]1(C[N]2C=CN=N2)[C@@H](N3[C@@H](CC3,3.55,2.82,37.2,15.92,6.22,6.65,,,0.55,0.45,1.57,1.20,0.79,0.82,,
1113,@H](CC3=O)[S]1(=O)=O)C(O)=OCC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O),=O)[S]1(=O)=O)C([O-])=OCC(C)(C)C1=C(O)C(=CC(=C1)C(=O)CCCC#C)C(C)(,0.26,0.33,4.81,4.23,0.97,1.29,0.7,0.69,0.59,-0.49,0.68,0.63,-0.01,0.11,-0.15,-0.16
1114,CCCC#CC[N]1N=NC(=N1)C2=CC=C(C=N2)C3=CC=C,C)CC[N]1N=NC(=N1)C2=NC=C(C=C2)C3=C(F)C=C(C=,12,9.52,8.9,7.88,50.7,25.55,,,1.08,0.98,0.95,0.90,1.71,1.41,,
1115,(C=C3F)N4C[C@H](CO)OC4=O,C3)N4C[C@H](CO)OC4=O,0.91,0.90,1.19,1.72,10.16,7.83,0.11,0.10,0.04,-0.04,0.08,0.24,1.01,0.89,-0.96,-1.02
1116,FC1=CN(C2CCCO2)C(=O)NC1=OCCCCCNC(=N)NN=CC1=C[NH]C2=CC=C(O,FC1=CN([C@@H]2CCCO2)C(=O)NC1=OCCCCCNC(=[NH2+])N\N=C/C1=C[NH]C2=C1C=C(,0.62,0.43,0.95,1.78,8.69,5.17,,,0.21,-0.37,-0.02,0.25,0.94,0.71,,
1117,C)C=C12FC1=CC=CC(=C1F)[C@@H]2CC[C@@H](N,OC)C=C2FC1=C(F)C(=CC=C1)[C@@H]2CC[C@@H](NC(=O),5.3,5.19,18,13.32,11,8.91,0.02,0.05,0.72,0.72,1.26,1.12,1.04,0.95,-1.70,-1.33
1118,C(=O)N3CCC(CC3)N4C(=O)NC5=C4C=CC=N5)C(=O)N(C2)CC(F)(F)FCC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([,N3CCC(CC3)N4C(=O)NC5=C4C=CC=N5)C(=O)N(C2)CC(F)(F)FCC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[N,0.86,1.08,5.8,4.70,8.2,11.53,,,0.07,0.03,0.76,0.67,0.91,1.06,,
1119,C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]3N(CCCC[N]4C=NC(=C4)C5=CC=CN=C5)C(=O)O[C@]13C)OCCCCC1=NC2=C(C)C=C(C=C2[N]1CC3=CC=,H+](C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]3N(CCCC[N]4C=NC(=C4)C5=CN=CC=C5)C(=O)O[C@]13C)OCCCCC1=NC2=C(C=C(C=C2C)C3=NC4=C(C=CC=C4),3,2.38,14,8.80,12,12.71,0.41,0.24,0.48,0.38,1.15,0.94,1.08,1.10,-0.39,-0.62
